IP:端口#国家,IP,端口,国家,机房,TCP延迟(ms),TLS延迟(ms),速度(Mbps)
38.65.9.251:443#US,38.65.9.251,443,US,LAX,42.47,49.98,69.43
38.65.9.111:443#US,38.65.9.111,443,US,LAX,42.12,50.35,60.62
191.222.247.114:443#US,191.222.247.114,443,US,MIA,42.64,50.84,40.11
47.254.122.134:443#US,47.254.122.134,443,US,SJC,37.96,51.16,50.94
149.248.18.11:443#US,149.248.18.11,443,US,LAX,43.7,51.29,117.62
104.168.125.179:443#US,104.168.125.179,443,US,ORD,28.34,51.4,197.98
192.220.23.93:443#US,192.220.23.93,443,US,LAX,42.29,51.54,51.67
82.39.213.181:8443#US,82.39.213.181,8443,US,EWR,27.58,51.54,29.43
38.9.96.61:443#CA,38.9.96.61,443,CA,YUL,33.34,51.56,16.68
66.154.115.151:443#US,66.154.115.151,443,US,ORD,25.01,51.66,143.3
205.186.76.242:443#US,205.186.76.242,443,US,LAX,43.03,51.67,26.02
205.186.76.197:443#US,205.186.76.197,443,US,LAX,41.82,51.84,19.75
205.186.76.209:443#US,205.186.76.209,443,US,LAX,40.53,51.94,16.33
192.236.234.71:443#US,192.236.234.71,443,US,LAX,46.12,52.05,115.33
205.186.76.237:443#US,205.186.76.237,443,US,LAX,41.54,52.28,46.17
104.129.183.69:443#CA,104.129.183.69,443,CA,YVR,48.2,52.28,29.35
205.186.76.187:443#US,205.186.76.187,443,US,LAX,52.16,52.44,57.26
38.64.57.20:443#US,38.64.57.20,443,US,LAX,41.34,52.58,58.16
38.34.18.34:443#US,38.34.18.34,443,US,LAX,42.1,52.67,24.89
205.186.76.251:443#US,205.186.76.251,443,US,LAX,40.91,53.42,114.68
65.49.219.27:443#US,65.49.219.27,443,US,LAX,48.95,53.55,27.06
154.9.241.186:443#US,154.9.241.186,443,US,LAX,52.95,53.65,28.96
38.207.187.7:443#US,38.207.187.7,443,US,LAX,43.66,53.94,32.11
192.129.133.225:443#US,192.129.133.225,443,US,LAX,46.18,54.05,48.06
192.129.220.4:443#US,192.129.220.4,443,US,LAX,44.01,54.08,25.23
205.186.76.141:443#US,205.186.76.141,443,US,LAX,41.49,54.26,37.95
154.29.145.99:443#US,154.29.145.99,443,US,LAX,49.83,54.34,43.65
45.133.17.106:443#CA,45.133.17.106,443,CA,YUL,34.12,54.75,32.21
216.36.80.137:443#US,216.36.80.137,443,US,LAX,43.18,54.83,41.25
205.186.76.198:443#US,205.186.76.198,443,US,LAX,42.19,55.14,42.66
154.21.197.32:443#US,154.21.197.32,443,US,LAX,49.98,55.19,36.18
142.4.37.136:443#US,142.4.37.136,443,US,EWR,41.97,55.8,36.71
154.9.243.154:443#US,154.9.243.154,443,US,LAX,51.91,55.93,16.58
107.174.40.115:443#US,107.174.40.115,443,US,LAX,51.17,56.37,43.51
107.174.154.23:443#US,107.174.154.23,443,US,LAX,40.64,56.41,57.01
77.110.127.242:443#US,77.110.127.242,443,US,ATL,37.48,56.55,50.5
159.203.18.237:443#CA,159.203.18.237,443,CA,YYZ,45.82,56.62,175.57
46.17.107.199:443#US,46.17.107.199,443,US,EWR,39.64,56.66,11.34
45.62.101.116:443#US,45.62.101.116,443,US,SJC,47.13,57.33,21.48
96.44.184.33:443#US,96.44.184.33,443,US,LAX,40.86,57.45,117.16
192.3.134.177:443#US,192.3.134.177,443,US,SJC,53.95,57.5,49.85
138.124.123.201:443#US,138.124.123.201,443,US,ATL,42.74,57.54,35.89
64.49.28.173:2053#US,64.49.28.173,2053,US,LAX,42.66,57.93,92.46
66.154.114.67:443#US,66.154.114.67,443,US,ORD,19.58,57.97,271.75
64.49.28.173:8443#US,64.49.28.173,8443,US,LAX,45.09,58.13,81.27
63.142.251.8:443#US,63.142.251.8,443,US,DFW,18.7,58.76,181.2
47.77.210.148:443#US,47.77.210.148,443,US,SJC,44.89,58.97,61.82
64.49.28.173:2083#US,64.49.28.173,2083,US,LAX,48.32,58.98,74.93
77.110.124.146:443#US,77.110.124.146,443,US,ATL,50.14,59.06,72.94
64.49.28.173:443#US,64.49.28.173,443,US,LAX,45.53,59.07,95.56
192.3.212.40:443#US,192.3.212.40,443,US,LAX,47.25,59.47,35.06
107.172.190.151:443#US,107.172.190.151,443,US,ORD,26.09,59.68,77.78
107.173.167.108:8443#US,107.173.167.108,8443,US,IAD,42.97,60.08,144.64
82.39.213.181:443#US,82.39.213.181,443,US,EWR,42.1,60.58,12.43
158.69.220.24:443#CA,158.69.220.24,443,CA,YYZ,33.65,60.6,28.6
154.23.163.15:443#US,154.23.163.15,443,US,LAX,50.52,61.11,42.47
191.222.247.89:443#US,191.222.247.89,443,US,MIA,43.69,61.29,69.48
192.204.62.245:443#US,192.204.62.245,443,US,LAX,51.86,61.44,28.2
192.9.157.76:443#US,192.9.157.76,443,US,SJC,40.08,61.59,57.15
162.217.248.105:443#US,162.217.248.105,443,US,EWR,34.78,61.89,66.15
138.197.173.118:443#CA,138.197.173.118,443,CA,YYZ,29.28,62.05,142.02
154.40.34.236:443#US,154.40.34.236,443,US,LAX,77.23,62.53,15.93
23.95.148.8:443#US,23.95.148.8,443,US,ORD,47.76,62.59,69.98
166.88.33.161:443#US,166.88.33.161,443,US,LAX,53.2,62.98,17.11
64.23.161.169:443#US,64.23.161.169,443,US,SJC,46.66,63.11,124.82
38.150.32.128:443#US,38.150.32.128,443,US,LAX,50.23,63.86,26.74
104.225.154.171:443#US,104.225.154.171,443,US,LAX,49.31,63.95,46.24
185.186.245.90:443#US,185.186.245.90,443,US,DFW,34.04,64.25,71.82
158.69.220.85:8443#CA,158.69.220.85,8443,CA,YYZ,33.52,64.37,11.08
192.3.1.218:443#US,192.3.1.218,443,US,ORD,39.72,64.45,48.18
35.212.217.90:443#US,35.212.217.90,443,US,SEA,46.73,65.29,40.21
158.69.220.24:8443#CA,158.69.220.24,8443,CA,YYZ,33.2,65.33,35.94
192.129.240.161:443#US,192.129.240.161,443,US,LAX,50.55,65.63,100.06
203.88.123.113:443#US,203.88.123.113,443,US,LAX,58.87,65.81,64.3
107.172.79.112:443#US,107.172.79.112,443,US,SJC,46.81,65.83,45.31
172.247.244.74:443#US,172.247.244.74,443,US,LAX,59.41,65.94,35.55
192.3.208.192:443#US,192.3.208.192,443,US,SJC,51.5,66.09,27.17
192.18.136.255:443#US,192.18.136.255,443,US,SJC,36.82,66.27,32.72
107.174.242.250:443#US,107.174.242.250,443,US,PDX,40.1,66.29,83.22
38.132.122.241:443#US,38.132.122.241,443,US,BOS,27.09,66.36,19.82
158.69.220.85:443#CA,158.69.220.85,443,CA,YYZ,33.23,67.82,13.08
107.172.32.207:443#US,107.172.32.207,443,US,ORD,21.98,68.01,121.18
45.12.88.57:8443#US,45.12.88.57,8443,US,LAX,51.63,68.62,25.47
172.93.32.237:443#CA,172.93.32.237,443,CA,YVR,61.72,68.77,70.95
204.44.74.241:443#US,204.44.74.241,443,US,ORD,32.04,70.71,27.19
158.69.219.232:443#CA,158.69.219.232,443,CA,YYZ,32.37,71.1,30.45
172.245.148.211:443#US,172.245.148.211,443,US,SEA,65.42,71.29,71.79
154.12.56.154:443#US,154.12.56.154,443,US,LAX,53.54,71.42,43.07
143.198.31.221:443#US,143.198.31.221,443,US,EWR,36.54,72.13,32.1
198.23.246.97:443#US,198.23.246.97,443,US,SJC,49.65,72.91,54.23
35.212.214.143:443#US,35.212.214.143,443,US,SEA,46.77,75.71,32.87
96.8.121.29:443#US,96.8.121.29,443,US,PDX,45.97,76.31,58.98
23.94.43.51:443#US,23.94.43.51,443,US,PDX,48.97,76.78,66.05
45.12.88.57:443#US,45.12.88.57,443,US,LAX,55.72,77.25,19.8
23.95.220.231:443#US,23.95.220.231,443,US,IAD,25.44,78.28,55.05
158.69.219.232:8443#CA,158.69.219.232,8443,CA,YYZ,49.19,78.89,28.59
129.146.47.135:443#US,129.146.47.135,443,US,LAX,67.54,79.13,44.08
141.148.187.195:443#US,141.148.187.195,443,US,LAX,50.87,79.46,25.69
129.146.46.164:443#US,129.146.46.164,443,US,LAX,60.44,80.22,73.69
23.94.79.83:443#US,23.94.79.83,443,US,IAD,65.72,80.45,122.18
104.168.56.73:443#US,104.168.56.73,443,US,ORD,29.89,81.51,45.85
107.172.139.145:443#US,107.172.139.145,443,US,ORD,24.72,81.65,181.43
146.235.232.79:443#US,146.235.232.79,443,US,SJC,48.76,82.25,58.15
77.110.125.182:443#US,77.110.125.182,443,US,ATL,46.27,82.31,85.21
192.3.251.89:443#US,192.3.251.89,443,US,PDX,40.22,83.93,35.8
107.174.67.116:443#US,107.174.67.116,443,US,ORD,36.98,84.12,24.97
43.169.19.179:443#CO,43.169.19.179,443,CO,BOG,80.32,84.12,17.8
23.95.215.195:443#US,23.95.215.195,443,US,SJC,77.93,85.22,90.81
172.245.246.110:443#US,172.245.246.110,443,US,ORD,32.03,86.36,40.63
107.175.209.186:443#US,107.175.209.186,443,US,PIT,24.87,88.26,119.48
80.209.241.166:443#US,80.209.241.166,443,US,EWR,43.02,89.16,115.89
107.150.0.204:443#US,107.150.0.204,443,US,SEA,48.36,89.49,54.62
38.77.187.51:443#US,38.77.187.51,443,US,PHX,83.35,90.3,55.89
70.79.240.221:443#CA,70.79.240.221,443,CA,YVR,52.56,90.63,23.85
43.169.18.179:443#CO,43.169.18.179,443,CO,BOG,86.98,92.85,13.58
104.168.87.130:443#US,104.168.87.130,443,US,SJC,69.71,92.88,40.81
179.255.185.120:443#US,179.255.185.120,443,US,IAD,28.16,93.32,26.2
45.133.16.41:443#CA,45.133.16.41,443,CA,YUL,37.83,94.77,52.9
104.168.38.167:443#US,104.168.38.167,443,US,PIT,33.41,95.31,60.97
43.174.218.1:443#CO,43.174.218.1,443,CO,BOG,85.43,96.01,17.23
107.174.67.164:443#US,107.174.67.164,443,US,PIT,43.28,98.41,33.65
205.186.76.227:443#US,205.186.76.227,443,US,LAX,43.55,99.27,109.87
